case_id,field,metric,value,detail
c01_柳橙綠茶,is_food_label,correct,1,
c01_柳橙綠茶,name,exact,1,sim=1.00
c01_柳橙綠茶,brand,exact,0,sim=0.00
c01_柳橙綠茶,manufacturer,exact,1,sim=1.00
c01_柳橙綠茶,allergy_warning,exact,0,sim=1.00
c01_柳橙綠茶,ingredients_list,f1,1.0,tp=10 fp=0 fn=0
c01_柳橙綠茶,ingredients_flat,f1,0.947,tp=9 fp=0 fn=1
c01_柳橙綠茶,ingredients_raw,char_sim,1.0,
c01_柳橙綠茶,nutrition.calories,within_tol,1,
c01_柳橙綠茶,nutrition.protein,within_tol,1,
c01_柳橙綠茶,nutrition.fat,within_tol,1,
c01_柳橙綠茶,nutrition.saturated_fat,within_tol,1,
c01_柳橙綠茶,nutrition.trans_fat,within_tol,1,
c01_柳橙綠茶,nutrition.carbohydrates,within_tol,1,
c01_柳橙綠茶,nutrition.sugar,within_tol,1,
c01_柳橙綠茶,nutrition.sodium,within_tol,1,
c01_柳橙綠茶,per_serving.calories,within_tol,1,
c01_柳橙綠茶,per_serving.protein,within_tol,1,
c01_柳橙綠茶,per_serving.fat,within_tol,1,
c01_柳橙綠茶,per_serving.saturated_fat,within_tol,1,
c01_柳橙綠茶,per_serving.trans_fat,within_tol,1,
c01_柳橙綠茶,per_serving.carbohydrates,within_tol,1,
c01_柳橙綠茶,per_serving.sugar,within_tol,1,
c01_柳橙綠茶,per_serving.sodium,within_tol,1,
c01_柳橙綠茶,serving_size,within_tol,1,
c01_柳橙綠茶,servings_per_container,within_tol,1,
c01_柳橙綠茶,certification_marks,f1,1.0,
c02_濃豆漿,is_food_label,correct,1,
c02_濃豆漿,name,exact,0,sim=0.56
c02_濃豆漿,brand,exact,1,sim=1.00
c02_濃豆漿,manufacturer,exact,1,sim=1.00
c02_濃豆漿,allergy_warning,exact,0,sim=1.00
c02_濃豆漿,ingredients_list,f1,1.0,tp=2 fp=0 fn=0
c02_濃豆漿,ingredients_flat,f1,1.0,tp=1 fp=0 fn=0
c02_濃豆漿,ingredients_raw,char_sim,1.0,
c02_濃豆漿,nutrition.calories,within_tol,1,
c02_濃豆漿,nutrition.protein,within_tol,1,
c02_濃豆漿,nutrition.fat,within_tol,1,
c02_濃豆漿,nutrition.saturated_fat,within_tol,1,
c02_濃豆漿,nutrition.trans_fat,within_tol,1,
c02_濃豆漿,nutrition.carbohydrates,within_tol,1,
c02_濃豆漿,nutrition.sugar,within_tol,1,
c02_濃豆漿,nutrition.fiber,within_tol,1,
c02_濃豆漿,nutrition.sodium,within_tol,1,
c02_濃豆漿,per_serving.calories,within_tol,1,
c02_濃豆漿,per_serving.protein,within_tol,1,
c02_濃豆漿,per_serving.fat,within_tol,1,
c02_濃豆漿,per_serving.saturated_fat,within_tol,1,
c02_濃豆漿,per_serving.trans_fat,within_tol,1,
c02_濃豆漿,per_serving.carbohydrates,within_tol,1,
c02_濃豆漿,per_serving.sugar,within_tol,1,
c02_濃豆漿,per_serving.fiber,within_tol,1,
c02_濃豆漿,per_serving.sodium,within_tol,1,
c02_濃豆漿,serving_size,within_tol,1,
c02_濃豆漿,servings_per_container,within_tol,1,
c02_濃豆漿,certification_marks,f1,1.0,
c03_厚奶茶,is_food_label,correct,1,
c03_厚奶茶,name,exact,1,sim=1.00
c03_厚奶茶,brand,exact,0,sim=0.40
c03_厚奶茶,manufacturer,exact,1,sim=1.00
c03_厚奶茶,allergy_warning,exact,0,sim=0.40
c03_厚奶茶,ingredients_list,f1,1.0,tp=6 fp=0 fn=0
c03_厚奶茶,ingredients_flat,f1,1.0,tp=5 fp=0 fn=0
c03_厚奶茶,ingredients_raw,char_sim,1.0,
c03_厚奶茶,nutrition.calories,within_tol,1,
c03_厚奶茶,nutrition.protein,within_tol,1,
c03_厚奶茶,nutrition.fat,within_tol,1,
c03_厚奶茶,nutrition.saturated_fat,within_tol,1,
c03_厚奶茶,nutrition.trans_fat,within_tol,1,
c03_厚奶茶,nutrition.carbohydrates,within_tol,1,
c03_厚奶茶,nutrition.sugar,within_tol,1,
c03_厚奶茶,nutrition.sodium,within_tol,1,
c03_厚奶茶,per_serving.calories,within_tol,1,
c03_厚奶茶,per_serving.protein,within_tol,1,
c03_厚奶茶,per_serving.fat,within_tol,1,
c03_厚奶茶,per_serving.saturated_fat,within_tol,1,
c03_厚奶茶,per_serving.trans_fat,within_tol,1,
c03_厚奶茶,per_serving.carbohydrates,within_tol,1,
c03_厚奶茶,per_serving.sugar,within_tol,1,
c03_厚奶茶,per_serving.sodium,within_tol,1,
c03_厚奶茶,serving_size,within_tol,1,
c03_厚奶茶,servings_per_container,within_tol,1,
c04_比菲多,is_food_label,correct,1,
c04_比菲多,name,exact,1,sim=1.00
c04_比菲多,allergy_warning,exact,0,sim=0.80
c04_比菲多,ingredients_list,f1,0.875,tp=7 fp=1 fn=1
c04_比菲多,ingredients_flat,f1,0.8,tp=6 fp=1 fn=2
